spending_data
Date;Place;Amount
2024-09-27;COFFY;1
2024-09-28;STARBUCKS;2
2024-09-29;STARBUCKS;1
2024-10-02;COFFY;1
2024-10-03;COFFY;1
2024-10-05;STARBUCKS;1
2024-10-05;PETRA;1
2024-10-06;STARBUCKS;2
2024-10-07;STARBUCKS;1
2024-10-09;STARBUCKS;1
2024-10-10;STARBUCKS;1
2024-10-10;STARBUCKS;1
2024-10-12;STARBUCKS;1
2024-10-14;COFFY;1
2024-10-15;STARBUCKS;1
2024-10-15;STARBUCKS;1
2024-10-18;COFFY;1
2024-10-21;STARBUCKS;1
2024-10-22;STARBUCKS;1
2024-10-22;STARBUCKS;1
2024-10-24;COFFY;1
2024-10-24;STARBUCKS;1
2024-10-24;STARBUCKS;1
2024-10-25;COFFY;1
2024-10-26;STARBUCKS;1
2024-10-29;STARBUCKS;1
2024-10-30;COFFY;1
2024-10-31;COFFY;1
2024-11-01;COFFY;1
2024-11-02;STARBUCKS;2
2024-11-03;STARBUCKS;1
2024-11-05;STARBUCKS;1
2024-11-05;STARBUCKS;1
2024-11-05;COFFY;1
2024-11-10;COFFY;1
2024-11-11;STARBUCKS;1
2024-11-12;COFFY;1
2024-11-13;COFFY;1
2024-11-14;STARBUCKS;1
2024-11-15;COFFY;1
2024-11-17;STARBUCKS;1
2024-11-18;COFFY;1
2024-11-18;STARBUCKS;1
2024-11-21;STARBUCKS;1
2024-11-25;COFFY;1
2024-11-27;STARBUCKS;1
2024-11-28;STARBUCKS;1
2024-11-29;STARBUCKS;1
2024-11-30;STARBUCKS;1
2024-12-01;STARBUCKS;1
2024-12-01;STARBUCKS;1
2024-12-02;COFFY;1
2024-12-03;STARBUCKS;1
2024-12-03;STARBUCKS;1
2024-12-06;COFFY;1
2024-12-08;COFFY;1
2024-12-10;COFFY;1
2024-12-10;STARBUCKS;1
2024-12-10;STARBUCKS;1
2024-12-12;STARBUCKS;1
2024-12-13;COFFY;1
2024-12-16;COFFY;1
2024-12-16;STARBUCKS;1
